yob,date,values
1931,2003,3.5555556
1931,2004,3.8
1931,2005,2.8333333
1931,2006,3.6153846
1931,2007,3.5
1931,2008,3
1931,2009,3.6
1931,2010,3
1931,2011,2.6666667
1931,2012,2.75
1931,2013,3.6666667
1931,2014,3.2
1931,2016,3
1932,2003,3.6666667
1932,2004,3.2307692
1932,2005,3
1932,2006,3.8571429
1932,2007,3
1932,2008,3
1932,2009,3.5
1932,2010,3.9
1932,2011,3.1428571
1932,2012,3.0714286
1932,2013,3.6
1932,2014,3.4
1932,2016,3
1933,2003,3.1666667
1933,2004,3.3
1933,2005,3.2727273
1933,2006,3.4444444
1933,2007,3.2
1933,2008,3.3571429
1933,2009,3.25
1933,2010,3.8571429
1933,2011,3.3333333
1933,2012,3.0769231
1933,2013,4
1933,2014,4.25
1933,2016,3.5
1934,2003,3.625
1934,2004,3.3529412
1934,2005,3.1818182
1934,2006,2.8181818
1934,2007,3.3076923
1934,2008,3.3571429
1934,2009,3.3333333
1934,2010,3.5
1934,2011,3.5
1934,2012,2.9
1934,2013,3.5
1934,2014,3.5384615
1934,2016,3.4285714
1935,2003,4
1935,2004,3.7142857
1935,2005,2.8
1935,2006,3.6363636
1935,2007,2.7777778
1935,2008,3.1538462
1935,2009,2.6363636
1935,2010,3.75
1935,2011,3.3333333
1935,2012,3
1935,2013,3.4
1935,2014,3.1
1935,2016,3.2857143
1936,2003,3.3333333
1936,2004,2.9285714
1936,2005,3.7272727
1936,2006,2.8666667
1936,2007,2.8
1936,2008,3.25
1936,2009,2.75
1936,2010,3.2727273
1936,2011,3.5
1936,2012,2.8888889
1936,2013,2.8333333
1936,2014,3.1666667
1936,2016,3.3333333
